ICD_Code_Pair,Count
"('E039', 'Z794')",13622
"('Z886', 'Z888')",13616
"('E8720', 'E785')",13611
"('Z08', 'Z85828')",13603
"('D225', 'Z1283')",13601
"('L570', 'L821')",13577
"('Z23', 'Z1211')",13569
"('D62', 'K219')",13563
"('G4733', 'I2510')",13548
"('Z23', 'F419')",13521
"('F419', 'Z7901')",13506
"('N1830', 'Z87891')",13495
"('K635', 'Z86010')",13480
"('M25561', 'G8929')",13469
"('D62', 'I2510')",13460
"('D696', 'Z79899')",13454
"('M6281', 'R278')",13446
"('E785', 'I110')",13445
"('M9901', 'M9907')",13442
"('E871', 'Z87891')",13439
"('L821', 'L905')",13431
"('N189', 'Z87891')",13430
"('Z66', 'I10')",13426
"('R918', 'Z79899')",13397
"('N186', 'D631')",13391
"('Z20822', 'Z880')",13384
"('R55', 'Z79899')",13381
"('E1142', 'E785')",13381
"('K648', 'K219')",13380
"('R197', 'Z20822')",13378
"('F419', 'Z23')",13372
"('F411', 'Z79899')",13365
"('N179', 'I480')",13361
"('M5450', 'M9904')",13358
"('K621', 'K648')",13348
"('E785', 'R5383')",13348
"('E6601', 'E119')",13341
"('K219', 'J449')",13341
"('M5450', 'M546')",13316
"('G4730', 'Z79899')",13300
"('E785', 'Z66')",13300
"('E039', 'Z880')",13295
"('Z20822', 'Z7984')",13284
"('E538', 'E559')",13272
"('J9601', 'J441')",13271
"('I10', 'M069')",13270
"('K760', 'Z79899')",13261
"('K219', 'Z8616')",13257
"('D123', 'Z86010')",13235
"('E878', 'D631')",13229
"('I10', 'E871')",13222
"('D649', 'E039')",13209
"('I10', 'I350')",13200
"('Z66', 'E785')",13189
"('Z370', 'O76')",13152
"('I10', 'Z1152')",13136
"('I110', 'J449')",13124
"('Z8616', 'Z79899')",13124
"('F418', 'Z79899')",13104
"('R079', 'Z79899')",13085
"('Z7984', 'Z7985')",13081
"('I4891', 'Z20822')",13076
"('Z7901', 'Z8673')",13070
"('N179', 'G4733')",13056
"('R7989', 'E785')",13051
"('K219', 'Z885')",13050
"('R262', 'R2681')",13037
"('L814', 'L578')",13014
"('E1142', 'I10')",13012
"('E860', 'E876')",13010
"('K635', 'K621')",12985
"('I110', 'E039')",12974
"('E1122', 'E039')",12952
"('R519', 'Z20822')",12951
"('L814', 'I781')",12945
"('Z370', 'O99344')",12935
"('D509', 'Z79899')",12932
"('I110', 'I4891')",12931
"('D696', 'I10')",12924
"('E785', 'Z86718')",12903
"('N390', 'Z20822')",12901
"('D225', 'Z85828')",12889
"('I10', 'M5450')",12881
"('I120', 'N186')",12872
"('N390', 'E039')",12856
"('E785', 'N1830')",12844
"('D225', 'L570')",12842
"('E785', 'Z0000')",12836
"('I350', 'E785')",12836
"('Z87891', 'E119')",12830
"('E785', 'I739')",12820
"('Z79899', 'Z9049')",12819
"('F419', 'F909')",12807
"('M542', 'M9904')",12803
"('E785', 'K760')",12801
"('Z87891', 'Z98890')",12798
"('I2510', 'E782')",12785
"('E669', 'Z6837')",12767
"('Z20822', 'J449')",12759
"('H5203', 'H524')",12757
